taxon_name,tipo,source_information
Huso huso,['En Peligro'],['Anexo II Conveni Barcelona']
Hyacinthoides massartiana,['Exótica'],['Exocat ']
Hyacinthus orientalis,['Exótica'],['Exocat ']
Hydrobates pelagicuss sp. melitensis,['En Peligro'],['Anexo II Conveni Barcelona']
Hydrocotile ranunculoides,['Introduced'],[]
Hydrocotyle bonariensis,['Exótica'],['Exocat ']
Hydrocotyle verticillata,['Exótica'],['Exocat ']
Hydroprogne caspia,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Hylocereus undatus,['Exótica'],['Exocat ']
Hylotelephium spectabile,['Exótica'],['Exocat ']
Hypericum calycinum,['Exótica'],['Exocat ']
Hypericum canariense,['Exótica'],['Exocat ']
Hypericum hircinum subsp. hircinum,['Exótica'],['Exocat ']
Hypericum hircinum subsp. majus,['Exótica'],['Exocat ']
Hypericum triquetrifolium,['Exótica'],['Exocat ']
Hyperoodon rostratus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Hypnea spinella,['Exótica'],['Exocat ']
Hypoponera punctatissima,['Exótica'],['Exocat ']
Hypostomus plecostomus,['Exótica'],['Exocat ']
Hyssopus officinalis,"['Exótica', 'Introduced']",['Exocat ']
Hystrix cristata,"['Exótica', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Exocat ']"
Icerya purchasi,"['Exótica', 'Introduced']",['Exocat ']
Ichthyosaura alpestris,"['Exótica', 'Introduced']",['Exocat ']
Ictalurus punctatus,"['Exótica', 'Introduced']",['Exocat ']
Impatiens balfourii,"['Exótica', 'Introduced']",['Exocat ']
Impatiens balsamina,['Exótica'],['Exocat ']
Impatiens glandulifera,"['Exótica', 'Introduced']",['Exocat ']
Inula helenium,['Exótica'],['Exocat ']
Ipomoea hederacea,['Exótica'],['Exocat ']
Ipomoea indica,"['Exótica', 'Introduced']",['Exocat ']
Ipomoea purpurea,"['Exótica', 'Introduced']",['Exocat ']
Ipomoea sagittata,['Exótica'],['Exocat ']
Ipomoea violacea,['Exótica'],['Exocat ']
Ips typographus,['Exótica'],['Exocat ']
Irania gutturalis,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Iris albicans,['Exótica'],['Exocat ']
Iris germanica,"['Exótica', 'Introduced']",['Exocat ']
Iris orientalis,['Exótica'],['Exocat ']
Iris sambucina,['Exótica'],['Exocat ']
Isatis tinctoria,['Exótica'],['Exocat ']
Isidella elongata,['En Peligro'],['Anexo II Conveni Barcelona']
Isodontia mexicana,['Exótica'],['Exocat ']
Isurus oxyrinchus,"['En Peligro', 'Explotación reglamentada']","['Anexo III Conveni Barcelona', 'Anexo II Conveni Barcelona']"
Ixobrychus minutus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Jacaranda mimosifolia,"['Exótica', 'Introduced']",['Exocat ']
Jarava brachychaeta,['Exótica'],['Exocat ']
Jarava caudata,['Exótica'],['Exocat ']
Jarava plumosa,['Exótica'],['Exocat ']
Jasminum mesnyi,['Introduced'],[]
Jasminum nudiflorum,['Exótica'],['Exocat ']
Jasminum officinale,['Exótica'],['Exocat ']
Juglans nigra,['Exótica'],['Exocat ']
Juglans regia,"['Exótica', 'Introduced']",['Exocat ']
Juncus tenuis,['Exótica'],['Exocat ']
Juniperus chinensis,['Exótica'],['Exocat ']
Juniperus macrocarpa,['Exótica'],['Exocat ']
Kalanchoe daigremontiana,['Exótica'],['Exocat ']
Kalanchoe fedtschenkoi,['Exótica'],['Exocat ']
Kalanchoe houghtonii,['Exótica'],['Exocat ']
Kalanchoe sexangularis,['Exótica'],['Exocat ']
Kalanchoe tubiflora,['Exótica'],['Exocat ']
Kalanchoe x houghtonii,['Introduced'],[]
Kallymenia spathulata,['En Peligro'],['Anexo II Conveni Barcelona']
Katsuwonus pelamis,['Protegida'],[]
Kerria japonica,['Exótica'],['Exocat ']
Kleinia mandraliscae,['Exótica'],['Exocat ']
Kleinia repens,['Exótica'],['Exocat ']
Kniphofia praecox,['Exótica'],['Exocat ']
Kochia scoparia,['Exótica'],['Exocat ']
Koelreuteria paniculata,"['Exótica', 'Introduced']",['Exocat ']
Koenigia polystachya,['Introduced'],[]
Kogia breviceps,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Kogia simus,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Kontikia ventrolineata,['Exótica'],['Exocat ']
Kundmannia sicula,['Exótica'],['Exocat ']
Laburnum anagyroides,['Exótica'],['Exocat ']
Lactuca sativa,['Exótica'],['Exocat ']
Lagarosiphon major,['Introduced'],[]
Lagenorhynchus acutus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Lagenorhynchus albirostris,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Lagerstroemia indica,['Introduced'],[]
Lagonosticta senegala,['Exótica'],['Exocat ']
Laminaria rodriguezii,['En Peligro'],['Anexo II Conveni Barcelona']
Lamium galeobdolon subsp. argentatum,['Exótica'],['Exocat ']
Lamna nasus,"['En Peligro', 'Explotación reglamentada']","['Anexo III Conveni Barcelona', 'Anexo II Conveni Barcelona']"
Lampetra fuviatilis,['Explotación reglamentada'],['Anexo III Conveni Barcelona']
Lampranthus,['Introduced'],[]
Lampranthus aureus,['Exótica'],['Exocat ']
Lampranthus multiradiatus,['Exótica'],['Exocat ']
Lampropeltis getula,"['Exótica', 'Introduced']",['Exocat ']
Lamprotornis chalybaeus,['Exótica'],['Exocat ']
Lamprotornis purpureus,['Exótica'],['Exocat ']
Lamprotornis superbus,['Exótica'],['Exocat ']
Lanius minor,['Exótica'],['Exocat ']
Lanius pallidirostris,['Introduced'],[]
Lantana camara,"['Exótica', 'Introduced']",['Exocat ']
Lantana montevidensis,"['Exótica', 'Introduced']",['Exocat ']
Larix decidua,['Exótica'],['Exocat ']
Larix marschlinsii,['Exótica'],['Exocat ']
Larus armenicus,['En Peligro'],['Anexo II Conveni Barcelona']
Larus audouinii,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Larus genei,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Larus melanocephalus,"['En Peligro', 'Estrictamente Protegida']","['Anexo II convenio de Berna', 'Anexo II Conveni Barcelona']"
Larus minutus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Larus sabini,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Lasioderma serricorne,['Exótica'],['Exocat ']
Lasius neglectus,"['Exótica', 'Introduced']",['Exocat ']
Lasthenia glabrata,['Exótica'],['Exocat ']
Lathyrus odoratus,['Exótica'],['Exocat ']
Lathyrus sativus,['Exótica'],['Exocat ']
Lathyrus tingitanus,"['Exótica', 'Introduced']",['Exocat ']
Lathyrus tuberosus,['Exótica'],['Exocat ']
Laurus nobilis,['Introduced'],[]
Lavandula angustifolia,['Exótica'],['Exocat ']
Lavandula dentata,"['Exótica', 'Introduced']",['Exocat ']
Legousia pentagonia,['Exótica'],['Exocat ']
Leiopathes glaberrima,['En Peligro'],['Anexo II Conveni Barcelona']
Leiosolenus aristatus,['Exótica'],['Exocat ']
Leiothrix lutea,"['Exótica', 'Introduced']",['Exocat ']
Lemna minuta,"['Exótica', 'Introduced']",['Exocat ']
Lemna valdiviana,['Exótica'],['Exocat ']
Lens culinaris,['Exótica'],['Exocat ']
Leonitis leonorus,['Exótica'],['Exocat ']
Leonurus cardiaca,['Exótica'],['Exocat ']
Lepidium bonariense,['Exótica'],['Exocat ']
Lepidium densiflorum,['Exótica'],['Exocat ']
Lepidium didymum,['Exótica'],['Exocat ']
Lepidium draba,['Exótica'],['Exocat ']
Lepidium latifolium,['Exótica'],['Exocat ']
Lepidium perfoliatum,['Exótica'],['Exocat ']
Lepidium sativum,['Exótica'],['Exocat ']
Lepidium virginicum subsp. virginicum,['Exótica'],['Exocat ']
Lepidochelys kempii,['En Peligro'],['Anexo II Conveni Barcelona']
Lepisiota melas,['Exótica'],['Exocat ']
Lepomis gibbosus,"['Exótica', 'Introduced']",['Exocat ']
Leptinotarsa decemlineata,['Exótica'],['Exocat ']
Leptoglossus occidentalis,"['Exótica', 'Introduced']",['Exocat ']
Leptophascum leptophyllum,['Exótica'],['Exocat ']
Leptoptilos crumenifer,['Exótica'],['Exocat ']
Lernaea cyprinacea,['Exótica'],['Exocat ']
Lespedeza cuneata,['Introduced'],[]
Lethentero nzanandreai,['En Peligro'],['Anexo II Conveni Barcelona']
Leucaena leucocephala,['Exótica'],['Exocat ']
Leuciscus aspius,['Exótica'],['Exocat ']
Leuciscus idus,['Exótica'],['Exocat ']
Leucojum aestivum,['Exótica'],['Exocat ']
Leucoraja circularis,"['En Peligro', 'Explotación reglamentada']","['Anexo III Conveni Barcelona', 'Anexo II Conveni Barcelona']"
Leucoraja melitensis,"['En Peligro', 'Explotación reglamentada']","['Anexo III Conveni Barcelona', 'Anexo II Conveni Barcelona']"
Levisticum officinale,['Exótica'],['Exocat ']
Ligustrum japonicum,['Introduced'],[]
Ligustrum lucidum,"['Exótica', 'Introduced']",['Exocat ']
Ligustrum ovalifolium,['Exótica'],['Exocat ']
Ligustrum sinense,['Exótica'],['Exocat ']
Lilium candidum,['Exótica'],['Exocat ']
Limicola falcinellus,['Estrictamente Protegida'],['Anexo II convenio de Berna']
Limnoperma fortunei,['Introduced'],[]
Limnoperna securis,"['Exótica', 'Introduced']",['Exocat ']
Limonium sinuatum,['Exótica'],['Exocat ']
Linaria spartea,['Exótica'],['Exocat ']
Linaria versicolor,['Exótica'],['Exocat ']
Linaria viscosa,['Exótica'],['Exocat ']
