Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,ObjectId,PLATJA,ID1,LOC,Sectors,nombre_place,id_place
Castelldefels,,,,,,-1,0,-1,,,2590,La Pineda Castelldefels,CF,25,CF25,Castelldefels CF25,549
Castelldefels,,,,,,-1,0,-1,,,2591,La Pineda Castelldefels,CF,28,CF28,Castelldefels CF28,550
Castelldefels,,,,,,-1,0,-1,,,2592,La Pineda Castelldefels,CF,26,CF26,Castelldefels CF26,551
Castelldefels,,,,,,-1,0,-1,,,2593,La Pineda Castelldefels,CF,27,CF27,Castelldefels CF27,552
Castelldefels,,,,,,-1,0,-1,,,2769,Baixador,CF,15,CF15,Castelldefels CF15,536
Montgat platges,,,,,,-1,0,-1,,,2747,Cala Taps,MG,1,MG01,Montgat platges MG01,553
Montgat platges,,,,,,-1,0,-1,,,2748,Platja de les Roques,MG,2,MG02,Montgat platges MG02,554
Montgat platges,,,,,,-1,0,-1,,,2749,Platja de les Roques,MG,3,MG03,Montgat platges MG03,555
Montgat platges,,,,,,-1,0,-1,,,2750,Les Barques,MG,4,MG04,Montgat platges MG04,556
Montgat platges,,,,,,-1,0,-1,,,2751,Les Barques,MG,5,MG05,Montgat platges MG05,557
Montgat platges,,,,,,-1,0,-1,,,2752,Les Barques,MG,6,MG06,Montgat platges MG06,558
Montgat platges,,,,,,-1,0,-1,,,2753,Les Barques,MG,7,MG07,Montgat platges MG07,559
Montgat platges,,,,,,-1,0,-1,,,2754,Les Barques,MG,8,MG08,Montgat platges MG08,560
Montgat platges,,,,,,-1,0,-1,,,2755,Can Tano,MG,9,MG09,Montgat platges MG09,561
Montgat platges,,,,,,-1,0,-1,,,2756,Can Tano,MG,10,MG10,Montgat platges MG10,562
Montgat platges,,,,,,-1,0,-1,,,2757,Montsolís,MG,11,MG11,Montgat platges MG11,563
Montgat platges,,,,,,-1,0,-1,,,2758,Montsolís,MG,12,MG12,Montgat platges MG12,564
Montgat platges,,,,,,-1,0,-1,,,2759,Montsolís,MG,13,MG13,Montgat platges MG13,565
Montgat platges,,,,,,-1,0,-1,,,2760,Montsolís,MG,14,MG14,Montgat platges MG14,566
Montgat platges,,,,,,-1,0,-1,,,2761,Montsolís,MG,15,MG15,Montgat platges MG15,567
Montgat platges,,,,,,-1,0,-1,,,2762,Els Toldos,MG,16,MG16,Montgat platges MG16,568
Montgat platges,,,,,,-1,0,-1,,,2763,Els Toldos,MG,17,MG17,Montgat platges MG17,569
Badalona sud,,,,,,-1,0,-1,,,2710,Mora,BD,2,BD02,Badalona sud BD02,455
Badalona sud,,,,,,-1,0,-1,,,2711,Mora,BD,3,BD03,Badalona sud BD03,456
Badalona sud,,,,,,-1,0,-1,,,2712,Mora,BD,4,BD04,Badalona sud BD04,457
Badalona nort,,,,,,-1,0,-1,,,2713,Coco,BD,5,BD05,Badalona nort BD05,458
Badalona nort,,,,,,-1,0,-1,,,2714,Coco,BD,6,BD06,Badalona nort BD06,459
Badalona nort,,,,,,-1,0,-1,,,2715,Pont del Petroli,BD,7,BD07,Badalona nort BD07,511
Badalona nort,,,,,,-1,0,-1,,,2716,Pont del Petroli,BD,8,BD08,Badalona nort BD08,512
Badalona nort,,,,,,-1,0,-1,,,2717,Pont del Petroli,BD,9,BD09,Badalona nort BD09,513
Badalona nort,,,,,,-1,0,-1,,,2718,Pont del Petroli,BD,10,BD10,Badalona nort BD10,570
Badalona nort,,,,,,-1,0,-1,,,2719,Pont del Petroli,BD,11,BD11,Badalona nort BD11,571
Badalona nort,,,,,,-1,0,-1,,,2720,L\'Estació,BD,12,BD12,Badalona nort BD12,572
Badalona nort,,,,,,-1,0,-1,,,2721,L\'Estació,BD,13,BD13,Badalona nort BD13,573
Badalona nort,,,,,,-1,0,-1,,,2722,L\'Estació,BD,14,BD14,Badalona nort BD14,574
Badalona nort,,,,,,-1,0,-1,,,2723,L\'Estació,BD,15,BD15,Badalona nort BD15,575
Badalona nort,,,,,,-1,0,-1,,,2724,Patins a Vela,BD,16,BD16,Badalona nort BD16,576
Badalona nort,,,,,,-1,0,-1,,,2725,Pescadors,BD,17,BD17,Badalona nort BD17,577
Badalona nort,,,,,,-1,0,-1,,,2726,Pescadors,BD,18,BD18,Badalona nort BD18,578
Badalona nort,,,,,,-1,0,-1,,,2727,Pescadors,BD,19,BD19,Badalona nort BD19,579
Badalona nort,,,,,,-1,0,-1,,,2728,Pescadors,BD,20,BD20,Badalona nort BD20,580
Badalona nort,,,,,,-1,0,-1,,,2729,Pescadors,BD,21,BD21,Badalona nort BD21,581
Badalona nort,,,,,,-1,0,-1,,,2730,Pescadors,BD,22,BD22,Badalona nort BD22,582
Badalona nort,,,,,,-1,0,-1,,,2731,Pont d\'en Botifarreta,BD,23,BD23,Badalona nort BD23,583
Badalona nort,,,,,,-1,0,-1,,,2732,Pont d\'en Botifarreta,BD,24,BD24,Badalona nort BD24,584
Badalona nort,,,,,,-1,0,-1,,,2733,Pont d\'en Botifarreta,BD,25,BD25,Badalona nort BD25,585
Badalona nort,,,,,,-1,0,-1,,,2734,Pont d\'en Botifarreta,BD,26,BD26,Badalona nort BD26,586
Badalona nort,,,,,,-1,0,-1,,,2735,Pont d\'en Botifarreta,BD,27,BD27,Badalona nort BD27,587
